Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,2,2,2,"Artificial Intelligence, AutoCAD, C Programming, CSS, Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, ReactJS",24,Bachelor of Engineering (B.E),Artificial Intelligence And Data Science,2024,,8.75/10,97.50/97.50,9.30/9.30,75.0
,3,3,2,1,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL, Statistics, Tableau, Amazon Web Services (AWS), CSS, Database Management System (DBMS), HTML, Heroku, Microsoft Azure, Natural Language Processing (NLP), Deep Learning",24,Master of Engineering (M.E),Electrical and Electronics Engineering,2019,66.41/100,70.18/100,79.67/79.67,73.28/73.28,75.0
,3,3,3,3,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, MS-Excel, MS-Office, Mathematics, OpenCV, Power BI, R Programming, SQL, Statistical Modeling, BIG DATA ANALYTICS, Tableau",24,Master of Technology (M.Tech),Artificial Intelligence,2023,8.70/10,7.14/10,,,87.5
,2,1,1,0,"MS-Office, Python, SQL, Machine Learning, Natural Language Processing (NLP), R Programming",24,Bachelors of Data Science,,2023,,,,,75.0
,2,2,0,2,"Effective Communication, Data Science, Deep Learning, HTML, MS-Excel, Machine Learning, Power BI, Python, R Programming",24,Bachelor of Science (B.Sc),Information Technology,2022,,,59.00/59.00,84.20/84.20,100.0
,3,2,1,2,"CSS, HTML, JavaScript, Python, Computer Vision, Data Science, Deep Learning, Flask, Machine Learning, Natural Language Processing (NLP)",24,B.Tech,Artificial Intelligence And Machine Learning,2025,,,,,75.0
,2,2,2,1,"Data Structures, Django, HTML, Java, Machine Learning, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Python, Tableau, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning",24,B.tech Artificial Intelligence And Data Science,Data Science,2025,9.50/10,,94.00/94.00,,75.0
,3,3,2,1,"Machine Learning, Python, Data Science, Data Structures, Java, MySQL, Natural Language Processing (NLP), Tableau, Deep Learning",24,B.Tech,Computer Science & Engineering,2024,,,,,75.0
,2,2,0,0,"CSS, Data Structures, Django, Flask, HTML, Machine Learning, Product Lifecycle Management(PLM), Project Management, Python, REST API, ReactJS, SQL, C++ Programming, JavaScript, MongoDB",24,Bachelor of Technology (B.Tech),Mechanical Engineering,2023,,6.33/10,,9.00/9.00,87.5
,2,2,0,0,"C Programming, CSS, HTML, ReactJS, Artificial Intelligence, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Machine Learning, PHP, Python, AJAX, C++ Programming",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,9.04/10,93.80/93.80,10.00/10.00,87.5
,1,1,0,1,"MS-Office, Data Analytics, Data Science, Deep Learning, Machine Learning, Python, Tableau",24,B.Tech,Mechanical Engineering,2021,,,,,75.0
,1,2,0,1,"C++ Programming, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), MS-Excel, Machine Learning, MySQL, Power BI, SQL, Computer Vision, Deep Learning, Python, ReactJS, Tableau, web3.js",24,M.Sc. in Data Science,,2025,8.42/10,,78.00/78.00,79.80/79.80,100.0
,3,3,2,2,".NET, Adobe XD, Amazon Web Server (AWS), Artificial Intelligence, Blogging, C Programming, C#, C#.NET, C++ Programming, Creative Writing, Data Structures, Design Thinking, English Proficiency (Spoken), English Proficiency (Written), Figma, Firebase, Flutter, GitHub, HTML, Kotlin, Linux, MS-Excel, Machine Learning, Mathematics, Node.js, Online Teaching, Power BI, Python, R Programming, REST API, React Native, ReactJS, Research and Analytics, SCSS, SQL, Search Engine Optimization (SEO), Shell Scripting, Subject Matter Expert (SME), Teaching, TypeScript, UI & UX Design, Vue Js, iOS, CSS, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, Digital Marketing, Google AdWords, Java, JavaScript, Natural Language Processing (NLP), Neural Networks, OpenCV, Social Media Marketing, Unity 3D, Unity Engine, Unreal Engine, Android, Web Application Security",24,B.Tech,Computer Science & Engineering,2024,,9.40/10,91.80/91.80,10.00/10.00,100.0
,2,3,2,3,"Data Analytics, Data Science, Deep Learning, Machine Learning, Neural Networks, Artificial intelligence, C Programming, C++ Programming, Computer Vision, Data Structures, Database Management System (DBMS), Java, MS-Excel, Natural Language Processing (NLP), Python, SQL, Node.js",24,B.Tech,computer science,2024,,8.51/10,9.94/9.94,85.40/85.40,100.0
,1,1,1,0,"C Programming, CSS, Data Science, Django, Git, HTML, Machine Learning, Natural Language Processing (NLP), PostgreSQL, Python",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2023,7.83/10,,77.40/77.40,9.60/9.60,100.0
,3,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Python, C++ Programming, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), ReactJS, Java",24,B.Tech,computer science,2023,,8.17/10,62.92/62.92,93.60/93.60,100.0
,2,2,1,2,"Data Science, Data Structures, Deep Learning, FastAPI, Machine Learning, Python, Amazon Web Server (AWS), Natural Language Processing (NLP)",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2024,,8.21/10,,,75.0
,2,2,2,3,"Deep Learning, Data Analytics, Data Science, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, SQL, Statistics, Tableau",24,Bachelor of Technology (B.Tech),,2022,,8.90/10,71.69/71.69,89.20/89.20,75.0
,3,3,3,3,"C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Docker, Java, Machine Learning, Natural Language Processing (NLP), NoSQL, Python, R Programming, SQL, CI/CD, Computer Vision, Flask, Git, JavaScript, Linux, MS-Excel, MongoDB, OpenCV",24,B.Tech,Computer Science & Engineering,2024,,,,,100.0
,1,2,0,2,"Deep Learning, Machine Learning, C Programming, Data Science, MySQL, Python",24,B.Tech,Electronics and Communication,2022,,8.00/10,97.00/97.00,9.80/9.80,100.0
,3,2,0,0,"Data Analytics, Data Science, Economics, Flask, HTML, MS-Excel, Mathematics, Power BI, Python, SQL, CSS, Django, Financial Modeling, JavaScript, MS-PowerPoint, Machine Learning, ReactJS, Tailwind CSS, TypeScript",24,Bachelor of Science (B.Sc) (Hons.),Mathematics,2025,,,92.50/92.50,88.40/88.40,75.0
,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), Painting, Sketching, Adobe Photoshop, Algorithms, C Programming, C++ Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), MS-PowerPoint, Machine Learning, MySQL, Python, WordPress, AutoCAD, Deep Learning, Korean Proficiency (Spoken), Korean Proficiency (Written), Natural Language Processing (NLP)",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2025,8.11/10,,94.20/94.20,94.10/94.10,100.0
,2,1,0,0,"C++ Programming, Python, Data Analytics, Machine Learning",24,Bachelor of Computer Engineering,computer science,2024,,7.78/10,77.00/77.00,85.40/85.40,87.5
,2,2,0,1,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, Data Analytics, Data Science, Data Structures, Java, JavaScript, Machine Learning, PHP, Power BI, Python, SQL, Tableau, Deep Learning",24,B.Tech,Information Technology,2014,,,8.40/8.40,8.30/8.30,75.0
,2,2,0,0,"C Programming, Creative Writing, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), HTML, Machine Learning, Neural Networks, NoSQL, Node.js, Python, ReactJS, SQL, Unix",24,,,0,,,,,100.0
,2,1,0,0,"C++ Programming, MySQL, Python, SQL, C Programming, HTML, Java, MATLAB, Machine Learning, Oracle, STATA",24,B.Tech,,2024,,9.34/10,98.80/98.80,100.00/100.00,75.0
,2,2,1,1,"MS-Excel, MS-Office, C Programming, Machine Learning, Python, Deep Learning, Natural Language Processing (NLP), Neural Networks",24,B.Tech,,2024,,,,,75.0
,3,2,0,2,"Python, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Neural Networks, SQL",24,B.Tech,Computer Science & Engineering,2024,,8.41/10,84.00/84.00,76.00/76.00,100.0
,2,2,1,1,"GitHub, MS-Excel, MySQL, Tableau, AutoCAD, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP), Power BI",24,B.Tech,,2025,,,,,100.0
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Bootstrap, C++ Programming, CSS, Data Science, Deep Learning, HTML, LaTeX, MATLAB, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Data Analytics",24,B.Tech,Electrical Engineering,2024,,,90.00/90.00,9.30/9.30,100.0
,2,2,1,1,"Data Structures, Machine Learning, Python, Stock Trading, C++ Programming, Data Science, Deep Learning, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Technology (B.Tech),Computer Science,2024,,,,,100.0
,3,2,3,2,"Data Analytics, Data Science, Natural Language Processing (NLP), Python, Artificial intelligence, Data Structures, Database Management System (DBMS), Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Power BI, Research and Analytics, SQL, Tableau, Amazon Web Services (AWS), JavaScript, OpenCV",24,Bachelor of Technology (B.Tech),Information Technology,2023,,8.60/10,80.20/80.20,,75.0
,3,2,0,0,"Python, Java, Machine Learning, Computer Vision, Data Science, JavaScript",24,B.Tech,Electrical and Electronics Engineering,2019,,,,,75.0
,2,3,0,0,"English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-Excel, MS-Office, Machine Learning, Power BI, SQL, Tableau, Data Analytics, Data Science, English Proficiency (Spoken), MS-Word, Python, Research and Analytics, Statistics, Cloud Computing, R Programming",24,Bachelor of Science (B.Sc),Mathematics,2020,,,,,100.0
,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Machine Learning, Python",24,Master in Artificial intelligence,,2024,,,,,75.0
,2,2,2,0,"Artificial Intelligence, BIG DATA ANALYTICS, Bengali Proficiency (Spoken), Business Analysis, Data Analytics, Data Science, English Proficiency (Written), Machine Learning, MySQL, Natural Language Processing (NLP), Python, Statistical Modeling, Computer Vision",24,Bachelor of Computer Applications (BCA) (Hons.),Data Analytics,2023,,,,,75.0
,2,3,0,1,"Machine Learning, Data Science, Power BI, Python, Deep Learning, MS-Excel",24,B.Tech,Electrical Engineering,2022,8.56/10,,,,75.0
,2,2,1,2,"MS-Excel, Data Analytics, Database Management System (DBMS), Deep Learning, Machine Learning, Power BI, Python, SQL, Amazon Web Services (AWS), Data Science, MongoDB, Natural Language Processing (NLP), Tableau, WordPress",24,Master of Science (M.Sc),Data Science,2023,,,,,75.0
,2,2,2,1,"Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, SQL, Artificial Intelligence, Deep Learning, Neural Networks",24,Bachelor of Science (B.Sc) (Hons.),computer science,2022,,9.47/10,91.20/91.20,9.60/9.60,75.0
,2,2,0,0,"CSS, HTML, C++ Programming, Data Analytics, JavaScript, Machine Learning, Python",24,B.Tech,Computer Science & Engineering,2023,,8.40/10,74.00/74.00,8.40/8.40,87.5
,2,2,0,2,"English Proficiency (Spoken), English Proficiency (Written), Artificial Intelligence, C++ Programming, Computer Vision, Deep Learning, Machine Learning, Python",24,B.Tech,Electronics and Telecommunication Engineering (ETE),2024,,,,,75.0
,3,3,2,3,"BIG DATA ANALYTICS, C Programming, C++ Programming, Data Science, Data Structures, Deep Learning, HTML, Machine Learning, Python, SQLite, Artificial Intelligence, Data Analytics, Database Management System (DBMS), Java, JavaScript, MATLAB, MS-Excel, Natural Language Processing (NLP), Computer Networks, Internet of Things (IoT)",24,B.Tech,Artificial Intelligence,2024,,,,,100.0
,3,2,2,2,"C++ Programming, Computer Vision, Image Processing, MS-Office, MS-PowerPoint, Mathematics, Neural Networks, OpenCV, Python, Report Writing, Research and Analytics, SQL, Algorithms, American English, Artificial intelligence, Business Analysis, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, Google Analytics, Java, JavaScript, MS-Excel, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), NoSQL, Power BI, R Programming, REST API, Statistical Modeling, Tableau, Amazon Web Server (AWS), Amazon Web Services (AWS), Django, Hadoop, Node.js",24,B.Tech,Computer Science & Engineering,2024,,9.33/100,79.00/79.00,,100.0
,2,2,0,1,"Java, Machine Learning, Python, Artificial Intelligence, C Programming, C++ Programming, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Neural Networks",24,B.Tech,Computer Science & Engineering(Artificial Intelligence),2024,,8.40/10,,,100.0
,2,1,0,1,"Data Science, Java, Python, Data Analytics, Deep Learning, Machine Learning, Neural Networks",24,Bachelor of Technology (B.Tech),Artificial Intelligence And Data Science,2025,,8.30/10,97.40/97.40,,75.0
,2,1,0,0,"Python, Data Analytics, Data Science, MS-Excel, Machine Learning, SQL",24,Master of Data Science,,2023,86.70/100,82.80/100,,,75.0
,2,0,0,0,"C Programming, C++ Programming, Data Science, Python, Tableau",24,Master of Computer Applications (MCA),Computer Application,2024,,,,,75.0
,3,2,0,0,"Python, Java, Machine Learning, SQL, R Programming",24,B.Tech,AI,2024,,8.10/10,71.20/71.20,85.70/85.70,75.0
,3,2,0,0,"Django, Python, Arduino, Data Analytics, Data Science, Machine Learning, MySQL, Power BI, Raspberry Pi, Tableau",24,Master of Science (M.Sc),electronics,2021,,,,,75.0
,2,2,2,0,"C++ Programming, CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Office, MS-Word, SQL, Blogging, C Programming, Data Science, Data Structures, JavaScript, MS-Excel, Machine Learning, Mathematics, Natural Language Processing (NLP), PHP, Python, R Programming, Search Engine Optimization (SEO), WordPress, Flask, Java, jQuery",24,Bachelor of Technology (B.Tech),Computer Science,2023,,,90.80/90.80,10.00/10.00,100.0
,2,1,0,0,"C Programming, Python, Machine Learning",24,B.Tech,Computer Science And Information Technology,2024,,8.89/10,,,75.0
,3,2,2,2,"Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, MS-Excel, Mathematics, Python, SQL, CSS, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), JavaScript",24,B.Tech,Computer Science,2022,,70.00/100,61.00/61.00,71.00/71.00,100.0
,2,2,1,2,"Data Science, Deep Learning, Machine Learning, Python, SQL, C Programming, Flutter, Java, Natural Language Processing (NLP)",24,B.Tech,,2024,,,9.22/9.22,9.80/9.80,100.0
,2,2,0,2,"C++ Programming, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, MySQL, Python",24,Bachelor of Science (B.Sc),Mathematics,2018,,74.20/100,,,100.0
,3,3,2,3,"Computer Vision, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Mathematics, Python, SQL, C++ Programming, Natural Language Processing (NLP)",24,B.Tech,,2023,,,,,87.5
,2,2,0,0,"MS-Excel, MS-PowerPoint, SQL, C Programming, C++ Programming, CSS, English Proficiency (Spoken), Internet of Things (IoT), Java, Linux, Machine Learning, Python, HTML, JavaScript",24,B.Tech,Computer Science & Engineering,2023,,7.94/10,75.50/75.50,10.00/10.00,75.0
,2,1,0,1,"MS-Excel, Python, Data Analytics, Data Science, Deep Learning, Machine Learning, R Programming, SQL",24,M.Sc. Management,Data Science,2023,,,,,100.0
,2,2,2,1,"Data Analytics, Data Science, Machine Learning, MySQL, Natural Language Processing (NLP), Python, SQL, Data Structures, Deep Learning",24,B.Tech,Information Technology,2023,,8.00/10,55.80/55.80,71.00/71.00,75.0
,2,1,0,0,"C Programming, C++ Programming, HTML, MySQL, Python, CSS, Data Science, Java, Machine Learning, UI & UX Design",16,B.Tech,AIML,2025,,8.69/9,,,100.0
,2,1,0,0,"Linux, C Programming, HTML, Python, Verilog, Machine Learning",24,Bachelor of Technology (B.Tech),Electronics and Communication,2023,,8.60/10,,9.80/9.80,75.0
,2,1,0,0,"Canva, Creative Writing, CSS, English Proficiency (Spoken), English Proficiency (Written), Figma, Financial literacy, HTML, Python, Research and Analytics, Stock Trading, Virtualization, C++ Programming, Data Analytics, Machine Learning, SQL, Search Engine Optimization (SEO), Tableau",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,8.63/10,,,87.5
,1,1,0,0,"Bengali Proficiency (Spoken), Data Analytics, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), Google Suite (G Suite), Guitar, Hindi Proficiency (Spoken), Linear Programming, MS-Excel, MS-Office, MS-Word, Mathematics, Power BI, SQL, Statistics, Tableau, Assamese Proficiency (Spoken), Assamese Proficiency (Written), Bengali Proficiency (Written), Hindi Proficiency (Written), Machine Learning, Python, R Programming",24,,DIPLOMA IN COMPUTER APPLICATION,2021,50.06/100,80.00/100,59.60/59.60,81.00/81.00,87.5
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, R Programming, Statistics, Tableau",24,Bachelor Of Engineering,Information Science,2013,3.00/5,,,,100.0
,1,2,1,1,"Machine Learning, Data Analytics, Data Science, Deep Learning, MS-Excel, MySQL, Natural Language Processing (NLP), Python, SQL, Statistics, Tableau",24,Bachelor of Technology (B.Tech),Artificial Intelligence And Data Science,2024,,,,,75.0
,3,3,3,2,"Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Python, C++ Programming, Deep Learning, JavaScript, Neural Networks, SQL, CSS, HTML",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,,,,100.0
,3,2,3,0,"CSS, Canva, Data Analytics, Data Science, Django, English Proficiency (Spoken), English Proficiency (Written), Figma, HTML, JavaScript, Natural Language Processing (NLP), Node.js, Python, ReactJS, Flask, Machine Learning, MySQL, REST API, Research and Analytics",24,B.Tech,Information Technology,2024,,10.00/10,9.43/9.43,10.00/10.00,75.0
,2,2,2,2,"MS-Excel, Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, SQL, Tableau",24,Advanced Certification In Data Science,Data Science,2023,,9.33/100,84.00/84.00,,75.0
,0,2,2,0,"C++ Programming, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Natural Language Processing (NLP)",24,B.Tech,Computer Science(Artificial Intelligence And Machine Learning),2024,,9.43/10,63.50/63.50,9.60/9.60,75.0
,2,2,1,1,"Data Analytics, Data Science, Data Structures, Java, JavaScript, Machine Learning, Python, SQL, Tableau, Artificial intelligence, Deep Learning, Natural Language Processing (NLP)",24,B.Tech,Computer Science,2023,,9.09/10,91.00/91.00,90.00/90.00,75.0
,3,2,2,2,"Python, Computer Vision, Data Analytics, Data Science, Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,,71.00/100,,,75.0
,3,2,0,0,"MS-Excel, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), MS-Word, Machine Learning, MySQL, SQL, Statistics, Tableau",24,Bachelor of Technology (B.Tech),Artificial Intelligence And Data Science,2024,,79.80/100,78.80/78.80,71.40/71.40,75.0
,3,3,2,2,"Data Science, MS-Excel, Machine Learning, Power BI, Python, Statistical Modeling, Computer Vision, Data Analytics, Deep Learning, Natural Language Processing (NLP), SQL",24,Bachelor of Science (B.Sc),Computer Science,2020,,6.40/10,8.40/8.40,8.20/8.20,75.0
,2,1,0,0,"HTML, Algorithms, C++ Programming, Data Structures, Figma, Python, Machine Learning",24,B.Tech,Computer Science & Engineering,2024,,8.04/10,89.00/89.00,9.00/9.00,87.5
,3,3,3,3,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Computer Vision, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Neural Networks, Power BI, SQL",24,Bachelor of Engineering (B.E),Information Technology,2023,,,72.15/72.15,,75.0
,2,2,0,0,"Business Analysis, Data Science, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Social Media Marketing, MS-Excel",24,Bachelor of Engineering (B.E),Telecommunication Engineering,2023,,7.00/10,86.00/86.00,9.60/9.60,75.0
,2,2,2,0,"Artificial intelligence, C Programming, C++ Programming, Data Science, Java, Machine Learning, Natural Language Processing (NLP), Python",24,Bachelor of Engineering (B.E),Computer Science & Engineering,2022,,8.00/100,9.40/9.40,9.20/9.20,100.0
,3,0,2,0,"Python, Android, C++ Programming, Computer Networking, Computer Vision, Data Science, Natural Language Processing (NLP)",24,Bachelor of Technology (B.Tech),Computer Science & Engineering - AI & ML,2024,8.60/10,,78.00/78.00,10.00/10.00,75.0
,2,2,0,0,"HTML, MS-Excel, CSS, Data Analytics, Data Structures, Database Management System (DBMS), JavaScript, Machine Learning, Python, ReactJS, SQL, Data Science, R Programming",24,B.Tech,AI And Datascience,2025,,8.50/10,93.50/93.50,84.50/84.50,100.0
,2,1,2,1,"Data Analytics, Data Science, Image Processing, Linux, Natural Language Processing (NLP), Neural Networks, OpenCV, Python, Computer Vision, Deep Learning, Machine Learning",24,B.Tech,Electronics and Communication,2023,,8.52/10,,,75.0
,3,3,2,2,"Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Python, SQL, C Programming, Data Structures, Database Management System (DBMS), Deep Learning, GitHub, Natural Language Processing (NLP), Tableau",24,Bachelor of Computer Applications (BCA),Data Science,2023,,9.02/10,94.00/94.00,,100.0
,2,2,1,2,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Data Science, Natural Language Processing (NLP), Neural Networks",24,Bachelor of Technology (B.Tech),Chemical Engineering,2025,,6.88/10,82.20/82.20,94.40/94.40,75.0
,2,1,0,0,"C Programming, C++ Programming, Data Analytics, MySQL, Python, Machine Learning",0,B.Tech,,2024,,,79.69/79.69,92.00/92.00,87.5
,2,2,0,0,"English Proficiency (Written), Mathematics, Data Analytics, Data Science, English Proficiency (Spoken), MS-Excel, Machine Learning, Python, SQL, Tableau, Microsoft Azure",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,8.80/10,,,75.0
,2,2,1,2,"C Programming, Flutter, Kotlin, XML, Artificial Intelligence, C++ Programming, Dart, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Image Processing, Java, Machine Learning, Python, Computer Vision, Mathematics, Natural Language Processing (NLP)",24,B.Tech,Information Technology,2024,,,89.80/89.80,88.60/88.60,100.0
,1,1,0,1,"Data Analytics, MS-Excel, Data Science, Deep Learning, Machine Learning, Python",24,MBA,International Business,2006,,,,,75.0
,2,1,0,0,"C Programming, C++ Programming, Data Structures, MS-Office, Painting, Python, Flask, Machine Learning, Node.js",24,Bachelor of Technology (B.Tech),Computer Science,2023,,,8.20/8.20,,87.5
,2,2,2,2,"Algorithms, Artificial Intelligence, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, SQL, SQLite, Statistics, Amazon Web Server (AWS), Flask",24,Bachelor of Commerce (B.Com),Commerce,2019,68.00/100,,,,75.0
,3,2,1,2,"English Proficiency (Written), Python, BIG DATA ANALYTICS, C++ Programming, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), HTML, Hindi Proficiency (Spoken), Java, MS-Word, Machine Learning, Marathi Proficiency(Spoken), MySQL, Neural Networks, Postman, SQL, Artificial Intelligence, C Programming, CSS, MS-Excel, MongoDB, Natural Language Processing (NLP), R Programming, Tableau",24,Bachelor of Engineering (B.E),Information Technology,2024,,9.60/10,66.62/66.62,83.80/83.80,100.0
,2,2,0,2,"C Programming, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), Hindi Proficiency (Spoken), Machine Learning, Python, HTML",24,B.Tech,Computer Science & Engineering,2024,,,,,100.0
,2,2,2,0,"C Programming, C++ Programming, Computer Vision, Data Science, Django, Google Workspace, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Search Engine Optimization (SEO), Blockchain, MongoDB, Node.js, ReactJS",24,B.Tech,Computer Science & Engineering,2024,,,80.77/80.77,90.60/90.60,100.0
,2,1,0,0,"Python, Artificial intelligence, C Programming, Java, JavaScript, Machine Learning",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,,,,75.0
,2,1,2,1,"Creative Writing, Digital Art, Social Media Marketing, Adobe After Effects, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Premiere Pro, Adobe XD, Data Analytics, Data Science, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Figma, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Tableau, UI & UX Design, Wireframing, Animation, Autodesk Fusion 360, Autodesk Revit, Computer Vision, Deep Learning, Machine Learning, MongoDB, Search Engine Optimization (SEO)",24,Bachelor of Technology (B.Tech),Electrical Engineering,2023,,7.50/9,,,75.0
,3,2,1,2,"Data Science, Python, Selenium, Deep Learning, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP)",24,Bachelor of Science (B.Sc),,2023,,,,,75.0
,2,2,0,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Python, SQL, Tableau, Java",24,Master of Science (M.Sc),Artificial Intelligence,2023,9.35/10,9.25/10,,,75.0
,2,2,0,0,"CSS, HTML, C Programming, Data Analytics, Java, MS-Office, Machine Learning, MySQL, Neural Networks, Python",24,Master of Technology (M.Tech),Digital Systems And Computer Electronics,2023,7.00/10,78.00/100,70.00/70.00,,87.5
,2,2,2,1,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Word, Mathematics, SQL, Artificial Intelligence, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, HTML, Java, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, Computer Vision, Deep Learning, JSP, Servlets, Spring MVC",24,B.Tech,Computer Science,2024,,3.60/4,85.00/85.00,85.00/85.00,100.0
,3,3,0,1,"Data Analytics, Machine Learning, Python, C Programming, C++ Programming, CSS, Canva, Data Science, HTML, Teaching, Unity 3D, Artificial Intelligence, C#, Computer Vision, Deep Learning, OpenCV, Report Writing",24,B.Tech,,2025,,,,,100.0
,3,1,0,1,"Python, C++ Programming, Data Science, Java, Artificial Intelligence, Deep Learning, Machine Learning",24,Bachelor of Engineering (B.E),Artificial Intelligence And Machine Learning,2024,,,,,100.0
,3,3,2,3,"C++ Programming, Computer Vision, Data Analytics, Deep Learning, Machine Learning, Python, SQL, Data Science, Docker, Flask, Git, MATLAB, Manual Testing, Natural Language Processing (NLP), PostgreSQL",24,B.Tech,Computer Science,2024,,,,,100.0
,3,3,2,3,"Computer Vision, Deep Learning, English Proficiency (Written), Machine Learning, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Natural Language Processing (NLP), SQL, Statistics",24,B.Tech,Computer Science & Engineering,2024,,7.52/10,,,75.0
,3,3,0,3,"Android, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Event Management, MS-Excel, Machine Learning, Neural Networks, OpenCV, Python, C++ Programming, Data Science, Firebase, Firebase Cloud Messaging, Flutter, Jira, Microsoft Project, Product Management, UI & UX Design",24,B.Tech,computer science,2024,,9.53/10,65.00/65.00,81.00/81.00,100.0
