Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,1,1,1,"HTML, Bootstrap, CSS, Data Structures, Database Management System (DBMS), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), GitHub, Java, JavaScript, MS-Word, MySQL, Python, SQL, WordPress, jQuery, Android, Data Analytics, Data Science, Deep Learning, Django, Express.js, Git, LARAVEL, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, PHP, REST API, ReactJS, Search Engine Optimization (SEO), Unix",24,B.Tech,,2024,,,,,75.0
,3,3,2,2,"Arduino, Data Analytics, Jira, MS-Excel, Machine Learning, Mathematics, MySQL, PostgreSQL, Power BI, Project Management, Python, SQL, Tableau, Data Science, Deep Learning, Natural Language Processing (NLP), OpenCV, Teaching, C++ Programming, Raspberry Pi",24,Bachelor of Technology (B.Tech),,2017,,73.00/100,,,100.0
,3,2,2,1,"Computer Vision, Data Science, English Proficiency (Spoken), English Proficiency (Written), Python, C++ Programming, Data Analytics, Data Structures, Django, Flask, Image Processing, JavaScript, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Node.js, OpenCV, R Programming, Research and Analytics, SQL, ArcGIS, CSS, Deep Learning, HTML, Java, Neural Networks, Power BI, ReactJS",24,B.Tech,Artificial Intelligence And Data Science,2024,,,88.00/88.00,,100.0
,2,1,1,1,"English Proficiency (Written), Python, CSS, Data Analytics, Data Science, Data Structures, Deep Learning, HTML, MS-Excel, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, OpenCV, SQL",24,B.Tech,Data Science,2024,,9.00/10,75.00/75.00,80.00/80.00,75.0
,2,2,1,2,"English Proficiency (Spoken), English Proficiency (Written), C Programming, Computer Networks, Deep Learning, Java, Jira, Machine Learning, Mathematics, MySQL, Python, CSS, Computer Vision, Data Science, German Proficiency (Spoken), German Proficiency (Written), HTML, JavaScript, Natural Language Processing (NLP)",24,B.Tech,,2024,,8.55/10,8.00/8.00,8.40/8.40,100.0
,2,2,1,1,"C++ Programming, Data Analytics, MS-Excel, Machine Learning, Python, Statistics, Artificial Intelligence, Computer Vision, Data Science, Data Structures, Deep Learning, GitHub, Image Processing, Java, MySQL, Natural Language Processing (NLP), Neural Networks, Power BI, SQL, Tableau",24,Master of Computer Science (M.C.S.),,2023,8.80/10,,,,100.0
,3,3,3,2,"Data Analytics, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, Artificial intelligence, C Programming, CSS, Data Science, Data Structures, Deep Learning, HTML, MS-Excel, SQL, C++ Programming, Computer Vision, Django, Flask",24,Bachelor of Technology (B.Tech),Computer Science,2023,,8.56/10,9.94/9.94,10.00/10.00,100.0
,2,2,2,2,"Artificial intelligence, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Flask, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python",24,B.Tech,,2024,,,,,75.0
,2,2,2,2,"HTML, MySQL, Bootstrap, CSS, Creative Writing, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), JavaScript, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, jQuery, Computer Networks, Computer Vision, Data Analytics, Data Science, Data Structures, MS-Excel, Node.js, PHP, ReactJS, WordPress",24,B.Tech,Computer Science & Engineering,2024,,,,10.00/10.00,75.0
,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Computer Vision, Data Analytics, Data Science, Deep Learning, Natural Language Processing (NLP), SQL",24,,,0,,,,,75.0
,3,2,2,2,"Python, Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, R Programming, SQL, C Programming, C++ Programming, Computer Vision, Git",24,B.Tech,Computer Science & Engineering,2024,,,,,100.0
,3,1,1,1,"Data Science, English Proficiency (Spoken), Python, Data Analytics, English Proficiency (Written), MS-Excel, Power BI, Artificial Intelligence, Computer Vision, Data Structures, Deep Learning, Elasticsearch, Image Processing, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, MySQL, Natural Language Processing (NLP), NoSQL, OpenCV, PostgreSQL, Research and Analytics, SQL, Statistics, Tableau",24,B.Tech,Electronics and Communication,2022,,,,,75.0
,2,2,2,2,"C++ Programming, English Proficiency (Spoken), Computer Networks, Data Structures, Database Management System (DBMS), Deep Learning, English Proficiency (Written), Git, GitHub, MS-Excel, MS-PowerPoint, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, SQL",24,B.Tech,Computer Science & Engineering,2025,,,,,87.5
,1,1,1,1,"English Proficiency (Spoken), MS-Word, C Programming, C++ Programming, English Proficiency (Written), MS-Excel, MS-PowerPoint, Mathematics, SQL, Data Analytics, Data Science, Deep Learning, Hadoop, MS-Office, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, SPSS, Statistics, Tableau",24,Master of Science (M.Sc),Mathematics,2023,,65.00/100,67.00/67.00,8.80/8.80,100.0
,2,2,2,2,"Adobe Illustrator, Algorithms, Amazon Web Services (AWS), C++ Programming, Cloud Computing, Cloud Firestore, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Figma, Firebase, Flask, GitHub, Heroku, Image Processing, Linux, MS-Excel, Machine Learning, Microsoft Visual Studio, MySQL, Natural Language Processing (NLP), Neural Networks, OpenCV, Postman, Python, Research and Analytics, Django, Kotlin, SQL",24,B.Tech,,2024,,,,,100.0
,3,2,2,2,"Computer Vision, Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Mathematics, Python, Research and Analytics, SQL, Artificial Intelligence, Data Science, Deep Learning, HTML, Hadoop, Machine Learning, Manual Testing, Microsoft Azure, Natural Language Processing (NLP), Neural Networks, Power BI, Statistical Modeling, Tableau",24,Bachelor of Engineering (B.E),Mechanical Engineering,2022,75.00/100,,85.00/85.00,100.00/100.00,75.0
,2,2,1,2,"Data Analytics, Database Management System (DBMS), Business Analysis, Data Science, Deep Learning, Hadoop, MS-Excel, Machine Learning, NoSQL, Power BI, Python, R Programming, SQL, Tableau, Natural Language Processing (NLP)",24,Integrated M.Sc.,Data Science,2024,,8.32/10,,,100.0
,3,3,3,3,"Business Analysis, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Research and Analytics, SQL, Tableau",24,,Data Science And Machine Learning,2022,,10.00/10,78.00/78.00,,75.0
,2,2,2,2,"LaTeX, MySQL, R Programming, Data Science, Data Structures, Deep Learning, Machine Learning, MongoDB, Natural Language Processing (NLP), Power BI, Python, SQL, Tableau, MS-Excel",24,M.Sc. in Data Science,Data Analytics,2024,,,,,100.0
,3,3,3,3,"C++ Programming, CSS, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), PHP, Python, ReactJS, Computer Vision, Data Analytics, Django, HTML, OpenCV",24,B.Tech,Electronics and Communication,2024,,9.40/10,,,100.0
,3,3,2,2,"Data Analytics, Data Science, GitHub, MS-Excel, Machine Learning, Python, Tableau, Algorithms, Computer Vision, Data Structures, Database Management System (DBMS), Deep Learning, Java, MS SQL Server, MySQL, Natural Language Processing (NLP), Neural Networks, OpenCV, PostgreSQL, Power BI, SQL, Statistics",24,B.Tech,Computer Science & Engineering,2023,,86.60/100,,,75.0
,2,2,1,2,"Artificial Intelligence, AutoCAD, C++ Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Image Processing, MATLAB, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Python, R Programming, Computer Vision, Gitlab, Natural Language Processing (NLP), OpenCV, SQL, Tableau",24,Dual Degree,Metallurgical & Materials Engineering,2025,,,83.20/83.20,95.80/95.80,100.0
,2,2,2,2,"Statistical Modeling, Algorithms, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Tableau, SQL",24,Master of Science (M.Sc),Statistics,2023,6.73/10,8.91/10,64.00/64.00,75.60/75.60,75.0
,3,3,3,2,"Angular 7.0, Artificial intelligence, C++ Programming, Computer Vision, Creative Writing, Data Structures, English Proficiency (Written), JavaScript, MS SQL Server, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Node.js, Python, SQL, TypeScript, Bootstrap, C Programming, CSS, Data Analytics, Data Science, Deep Learning, Embedded Systems, English Proficiency (Spoken), Express.js, GitHub, HTML, Hadoop, MS-PowerPoint, MongoDB, NoSQL, OpenCV, PostgreSQL, Robotics, jQuery, Java",24,Bachelor of Technology (B.Tech),Information Technology,2023,,,,,100.0
,3,3,2,3,"Data Analytics, Deep Learning, Image Processing, Machine Learning, Neural Networks, Python, Computer Vision, Data Science, Natural Language Processing (NLP), OpenCV, Tableau",24,B.Tech,Electrical Engineering,2024,,9.12/10,90.40/90.40,10.00/10.00,75.0
,2,2,1,1,"English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, Blockchain, C Programming, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Eclipse (IDE), English Proficiency (Spoken), Ethical Hacking, Git, Hadoop, Machine Learning, Physics, Power BI, Python, VS Code, Video Editing, Algorithms, BIG DATA ANALYTICS, C++ Programming, Computer Networks, Deep Learning, Ethereum, HTML, Java, JavaScript, Natural Language Processing (NLP), SQL, STATA",24,B.Tech,Computer Science & Engineering,2023,,,,,100.0
,2,2,2,1,"CSS, Data Analytics, HTML, MS-Excel, MS-Office, SQL, WordPress, Business Analysis, Data Science, Machine Learning, Natural Language Processing (NLP), Python, Tableau, jQuery, Deep Learning, Search Engine Optimization (SEO)",24,Master of Technology (M.Tech),Data Science,2022,82.00/100,65.00/100,,,75.0
,2,2,2,2,"Algorithms, Artificial Intelligence, C Programming, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, C++ Programming",24,B.Tech,Artificial Intelligence And Machine Learning,2024,,7.98/10,90.26/90.26,92.42/92.42,100.0
,3,3,3,3,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL, Statistics, Tableau",24,B.Tech,Mechanical,2022,72.86/100,8.13/10,82.20/82.20,88.33/88.33,75.0
,3,3,2,2,"C Programming, C++ Programming, CSS, HTML, Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP)",24,B.Tech,Computer Science & Engineering,2024,,,87.00/87.00,,75.0
,3,3,3,3,"Android, Computer Vision, Content Writing, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, Machine Learning, Mathematics, Natural Language Processing (NLP), Python, R Programming, SQL, Algorithms, Data Structures",19,Bachelor of Technology (B.Tech),Computer Science & Engineering,2025,,7.00/7,,,100.0
,2,3,2,2,"Cloud Computing, Data Science, Data Structures, MS-Excel, Machine Learning, Bootstrap, CSS, Computer Vision, Content Writing, Data Analytics, Deep Learning, HTML, JavaScript, Natural Language Processing (NLP), Neural Networks, Node.js, Python, SQL, MySQL, ReactJS, jQuery",24,B.Tech,Computer Science & Engineering,2024,,9.07/10,97.30/97.30,9.80/9.80,75.0
,3,3,2,3,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Research and Analytics, Data Analytics, Data Science, Natural Language Processing (NLP), R Programming, REST API",24,Bachelor of Science (B.Sc),computer science,2025,9.38/10,,9.60/9.60,,100.0
,3,2,1,1,"Python, Algorithms, Computer Vision, Data Science, Data Structures, Machine Learning, Data Analytics, Deep Learning, MS-Excel, Natural Language Processing (NLP), Neural Networks",24,B.Tech,Computer Science & Engineering,2024,,9.20/10,,,75.0
,2,2,2,1,"Artificial Intelligence, Data Analytics, Data Science, Data Structures, MS-Excel, MS-Word, Machine Learning, Natural Language Processing (NLP), Neural Networks, Power BI, Python, Tableau, BIG DATA ANALYTICS, Computer Vision, Database Management System (DBMS), Deep Learning, Image Processing, MySQL, R Programming",24,Post Graduation Diploma,Data Science,2023,8.00/10,8.11/10,,62.30/62.30,100.0
,3,3,2,3,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, MySQL, NoSQL, PostgreSQL, Python, SQL, Algorithms, C++ Programming, Computer Vision, Django, Docker, Git, GitHub, Natural Language Processing (NLP), Neural Networks, Amazon Web Server (AWS)",24,B.Tech,computer science,2022,81.20/100,,,,100.0
,2,1,1,1,"English Proficiency (Written), Artificial intelligence, Business Research, C++ Programming, Computer Vision, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), Git, GitHub, Java, MS-Excel, MS-Office, MS-Word, Mathematics, MySQL, Python, R Programming, Robotic Process Automation (RPA), SQL, Statistics, Tableau, UiPath, Arduino, Business Analysis, C Programming, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Research and Analytics, Selenium",24,B.Tech,Computer Science & Engineering In Specialisation With Ai And Robotics,2024,,8.28/10,87.50/87.50,82.60/82.60,100.0
,2,2,1,1,"Creative Writing, Manual Testing, MySQL, SQL, Search Engine Optimization (SEO), Angular 7.0, AngularJS, Business Research, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Database Testing, Django, English Proficiency (Spoken), English Proficiency (Written), GUI Testing, Google Analytics, HTML, Java, JavaScript, MS-Excel, MS-PowerPoint, Machine Learning, Microsoft Azure, Node.js, Postman, Python, Quality Assurance/Quality Control (QA/QC), R Programming, ReactJS, Research and Analytics, SCSS, Selenium, Software Testing, Tableau, TypeScript, Amazon Web Services (AWS), Artificial Intelligence, Computer Vision, Deep Learning, GitHub, Hadoop, Linux, Natural Language Processing (NLP), OpenCV, Power BI, Product Management, REST API, Vector Dynamics",24,Integrated M.Sc.,Software Engineering,2025,,8.80/10,90.00/90.00,,100.0
,1,2,1,1,"Machine Learning, Deep Learning, Natural Language Processing (NLP), Power BI, Python, R Programming, SQL, Tableau",24,,Computational Mechanics,2019,,,,,75.0
,3,3,2,3,"Deep Learning, Docker, HTML, MS-Office, Machine Learning, Mathematics, Python, Statistics, Algorithms, C++ Programming, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Git, Google Cloud Computing, Linux, Natural Language Processing (NLP), SQL, Tableau",24,B.Tech,Computer Science & Engineering,2024,,,,,100.0
,3,1,3,3,"Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MySQL, Natural Language Processing (NLP), Python, SQL, C++ Programming, Data Analytics, Data Structures, Elasticsearch, MongoDB, Power BI, Tableau, Git, Machine Learning",24,B.Tech,Electronics and Communication,2025,,8.77/10,9.40/9.40,,100.0
